name,sci_name,state,county,points,link,img,lat,long
Oak Sonoran scrub,Quercus turbinella,UT,Washington,54,https://www.americanforests.org?page_id=55377,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=2855,37.2393471,-113.525776
Nannyberry ,Viburnum lentago,NY,Monroe,54,https://www.americanforests.org?page_id=64617,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5297,43.150094,-77.6810141
Myrtle-of-the-river ,Calyptranthes zuzygium,FL,Miami-Dade,54,https://www.americanforests.org?page_id=55455,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.6364246,-80.4989467
Sumac Evergreen,Rhus virens,TX,Comal,54,https://www.americanforests.org?page_id=64632,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7962,29.7979704,-98.2690787
Myrtle-of-the-river ,Calyptranthes zuzygium,FL,Miami-Dade,54,https://www.americanforests.org?page_id=55454,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.6364246,-80.4989467
Sumac Evergreen,Rhus virens,TX,Uvalde,53,https://www.americanforests.org?page_id=81941,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=213,29.300357,-99.7733181
Clusia Florida,Clusia rosea,FL,Broward,53,https://www.americanforests.org?page_id=55988,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.1598074,-80.4623642
Hawthorn Parsley,Crataegus marshallii,VA,Southampton,53,https://www.americanforests.org?page_id=55470,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,36.6959378,-77.1586002
Sagebrush Big,Artemisia tridentata,OR,Jefferson,53,https://www.americanforests.org?page_id=55992,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5772,44.6072499,-121.2463145
Spicebush ,Lindera benzoin,MD,Washington,52,https://www.americanforests.org?page_id=80379,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,39.5893502,-77.710254
Thatchpalm Florida,Thrinax radiata,FL,Monroe,51,https://www.americanforests.org?page_id=84984,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=8002,25.0405135,-80.8337157
